/ Control Events;;;;;

THIRD_PARTY_EVENT_ID_MIN;;69632;;/ equals to 69632;0x00011000

/ Overhead - Electric  ;;;;;
EVT_OH_ELEC_BATTERY_SWITCH;69633;1;;/ 01 - BAT Switch;
EVT_OH_ELEC_BATTERY_GUARD;69634;2;;/ 02 - BAT Switch Guard ;
EVT_OH_ELEC_DC_METER;69635;3;;/ 03 - DC SOURCE Knob     ;
EVT_OH_ELEC_AC_METER;69636;4;;/ 04 - AC SOURCE Knob     ;
EVT_OH_ELEC_GALLEY;70606;974;;/ 974- GALLEY Switch [-600/700 only]    ;
EVT_OH_ELEC_CAB_UTIL;69637;5;;/ 05 - CAB UTIL Switch [-800/900 only]   ;
EVT_OH_ELEC_IFE;69638;6;;/ 06 - IFE/PASS Switch [-800/900 only];
EVT_OH_ELEC_STBY_PWR_SWITCH;69642;10;;/ 10 - STANDBY POWER Switch ;
EVT_OH_ELEC_STBY_PWR_GUARD;69643;11;;/ 11 - STANDBY POWER Switch Guard;
EVT_OH_ELEC_DISCONNECT_1_SWITCH;69644;12;;/ 12 - GEN DRIVE DISC Left Switch  ;
EVT_OH_ELEC_DISCONNECT_1_GUARD;69645;13;;/ 13 - GEN DRIVE DISC Left Guard  ;
EVT_OH_ELEC_DISCONNECT_2_SWITCH;69646;14;;/ 14 - GEN DRIVE DISC Right Switch 
EVT_OH_ELEC_DISCONNECT_2_GUARD;69647;15;;/ 15 - GEN DRIVE DISC Right Guard  
EVT_OH_ELEC_GRD_PWR_SWITCH;69649;17;;/ 17 - GROUND POWER Switch
EVT_OH_ELEC_BUS_TRANSFER_SWITCH;69650;18;;/ 18 - BUS TRANSFER Switch  
EVT_OH_ELEC_BUS_TRANSFER_GUARD;69651;19;;/ 19 - BUS TRANSFER Guard
EVT_OH_ELEC_GEN1_SWITCH;69659;27;;/ 27 - GENERATOR Left Switch
EVT_OH_ELEC_APU_GEN1_SWITCH;69660;28;;/ 28 - APU GENERATOR Left Switch
EVT_OH_ELEC_APU_GEN2_SWITCH;69661;29;;/ 29 - APU GENERATOR RIGHT Switch
EVT_OH_ELEC_GEN2_SWITCH;69662;30;;/ 30 - GENERATOR RIGHT Switch
EVT_OH_ELEC_MAINT_SWITCH;69725;93;;/ 93 - ELEC MAINT Switch 

/ Overhead - FUEL Panel;;;;
EVT_OH_FUEL_PUMP_1_AFT;69669;37;;/ 37 - FUEL PUMP LEFT AFT Switch 
EVT_OH_FUEL_PUMP_1_FORWARD;69670;38;;/ 38 - FUEL PUMP LEFT FWD Switch 
EVT_OH_FUEL_PUMP_2_FORWARD;69671;39;;/ 39 - FUEL PUMP RIGHT FWD Switch 
EVT_OH_FUEL_PUMP_2_AFT;69672;40;;/ 40 - FUEL PUMP RIGHT AFT Switch 
EVT_OH_FUEL_PUMP_L_CENTER;69677;45;;/ 45 - FUEL PUMP CENTER LEFT Switch 
EVT_OH_FUEL_PUMP_R_CENTER;69678;46;;/ 46 - FUEL PUMP CENTER LEFT Switch 
EVT_OH_FUEL_CROSSFEED;69681;49;;/ 49 - CROSSFEED Selector 

/ Overhead - LIGHTS Panel;;;;
EVT_OH_LAND_LIGHTS_GUARD;69742;110;;
EVT_OH_LIGHTS_L_RETRACT;69743;111;;
EVT_OH_LIGHTS_R_RETRACT;69744;112;;
EVT_OH_LIGHTS_L_FIXED;69745;113;;
EVT_OH_LIGHTS_R_FIXED;69746;114;;
EVT_OH_LIGHTS_L_TURNOFF;69747;115;;
EVT_OH_LIGHTS_R_TURNOFF;69748;116;;
EVT_OH_LIGHTS_TAXI;69749;117;;
EVT_OH_LIGHTS_APU_START;69750;118;;
EVT_OH_LIGHTS_L_ENGINE_START;69751;119;;
EVT_OH_LIGHTS_IGN_SEL;69752;120;;
EVT_OH_LIGHTS_R_ENGINE_START;69753;121;;
EVT_OH_LIGHTS_LOGO;69754;122;;
EVT_OH_LIGHTS_POS_STROBE;69755;123;;
EVT_OH_LIGHTS_ANT_COL;69756;124;;
EVT_OH_LIGHTS_WING;69757;125;;
EVT_OH_LIGHTS_WHEEL_WELL;69758;126;;
EVT_OH_LIGHTS_COMPASS;70614;982;;

/ Overhead - Center Part;;;;
EVT_OH_CB_LIGHT_CONTROL;69726;94;;/ CIRCUIT BREAKER Light Control
EVT_OH_PANEL_LIGHT_CONTROL;69727;95;;/ PANEL Light Control Decrease
EVT_OH_EC_SUPPLY_SWITCH;69728;96;;/ EQUIPMENT COOLING SUPPLY Switch
EVT_OH_EC_EXHAUST_SWITCH;69729;97;;/ EQUIPMENT COOLING EXHAUST Switch
EVT_OH_EMER_EXIT_LIGHT_SWITCH;69732;100;;/ EMERGENCY EXIT LIGHTS Switch 
EVT_OH_EMER_EXIT_LIGHT_GUARD;69733;101;;/ EMERGENCY EXIT LIGHTS Guard
EVT_OH_NO_SMOKING_LIGHT_SWITCH;69735;103;;/ NO SMOKING Switch
EVT_OH_FASTEN_BELTS_LIGHT_SWITCH;69736;104;;/ FASTEN BELTS Switch

/ Overhead - Miscellaneous;;;;
EVT_OH_ATTND_CALL_SWITCH;69737;105;;/ ATTENDANT CALL Switch 
EVT_OH_GRND_CALL_SWITCH;69738;106;;/ GROUND CALL Switch 
EVT_OH_WIPER_LEFT_CONTROL;69668;36;;/ LEFT WIPER Control 
EVT_OH_WIPER_RIGHT_CONTROL;69741;109;;/ RIGHT WIPER Control

EVT_OH_EFIS_HDG_REF_TOGGLE;76552;6920;;/ 692A - Heading Reference Switch Toggle - note: this is only for acft. with polar nav. option, e.g. BBJ


/ Overhead - NAVDSP;;;;
EVT_OH_NAVDSP_DISPLAYS_SOURCE_SEL;69690;58;;/ DISPLAYS SOURCE Selector 
EVT_OH_NAVDSP_CONTROL_PANEL_SEL;69691;59;;/ CONTROL PANEL Select Switch 
EVT_OH_NAVDSP_FMC_SEL;69692;60;;/ FMC Source Select Switch
EVT_OH_NAVDSP_IRS_SEL;69693;61;;/ IRS Transfer Switch 
EVT_OH_NAVDSP_VHF_NAV_SEL;69694;62;;/ VHF NAV Transfer Switch 


/ Overhead - FLTCTRL;;;;
EVT_OH_YAW_DAMPER;69695;63;;/ YAW DAMPER Switch 
EVT_OH_ALT_FLAPS_MASTER_SWITCH;69705;73;;/ ALTERNATE FLAPS Master Switch 
EVT_OH_ALT_FLAPS_MASTER_GUARD;69706;74;;/ ALTERNATE FLAPS Master Guard 
EVT_OH_SPOILER_A_SWITCH;69697;65;;/ SPOILER A Switch   
EVT_OH_SPOILER_A_GUARD;69698;66;;/ SPOILER A Guard 
EVT_OH_SPOILER_B_SWITCH;69699;67;;/ SPOILER B Switch 
EVT_OH_SPOILER_B_GUARD;69700;68;;/ SPOILER B Guard 
EVT_OH_ALT_FLAPS_POS_SWITCH;69707;75;;/ ALTERNATE FLAPS Position Switch
EVT_OH_FCTL_A_SWITCH;69710;78;;/ FLIGHT CONTROL A Switch Decrease 
EVT_OH_FCTL_A_GUARD;69711;79;;/ FLIGHT CONTROL A Guard 
EVT_OH_FCTL_B_SWITCH;69712;80;;/ FLIGHT CONTROL B Switch Decrease
EVT_OH_FCTL_B_GUARD;69713;81;;/ FLIGHT CONTROL B Guard 


/ Overhead - CVR;;
EVT_OH_CVR_TEST;69810;178
EVT_OH_CVR_ERASE;69812;180

/ Overhead - HYD;;
EVT_OH_HYD_ENG1;69797;165
EVT_OH_HYD_ELEC2;69799;167
EVT_OH_HYD_ELEC1;69800;168
EVT_OH_HYD_ENG2;69798;166

/ Overhead - ICE;;
EVT_OH_ICE_WINDOW_HEAT_1;69767;135
EVT_OH_ICE_WINDOW_HEAT_2;69768;136
EVT_OH_ICE_WINDOW_HEAT_3;69770;138
EVT_OH_ICE_WINDOW_HEAT_4;69771;139;;;;;
EVT_OH_ICE_WINDOW_HEAT_TEST;69769;137;;;;;
EVT_OH_ICE_PROBE_HEAT_1;69772;140;;;;;
EVT_OH_ICE_PROBE_HEAT_2;69773;141;;;;;
EVT_OH_ICE_TAT_TEST;69774;142;;/ was used for CAPT;"PITOT""";annunciator;light
EVT_OH_ICE_WING_ANTIICE;69788;156;;;;;
EVT_OH_ICE_ENGINE_ANTIICE_1;69789;157;;;;;
EVT_OH_ICE_ENGINE_ANTIICE_2;69790;158;;;;;

/ Overhead - PNEU;;;;;;;

/ -600/700 panel only;;;;;;;
EVT_OH_AIRCOND_TEMP_SOURCE_SELECTOR;69819;187;;;;;
EVT_OH_AIRCOND_TEMP_SELECTOR_CONT;69823;191;;;;;
EVT_OH_AIRCOND_TEMP_SELECTOR_CABIN;69824;192;;;;;


/ -800/900 panel only;;
EVT_OH_AIRCOND_TEMP_SOURCE_SELECTOR_800;69945;313
EVT_OH_AIRCOND_TEMP_SELECTOR_CONT_800;69937;305
EVT_OH_AIRCOND_TEMP_SELECTOR_FWD_800;69938;306
EVT_OH_AIRCOND_TEMP_SELECTOR_AFT_800;69939;307
EVT_OH_AIRCOND_TRIM_AIR_SWITCH_800;69943;311

EVT_OH_BLEED_RECIRC_FAN_L_SWITCH;70504;872
EVT_OH_BLEED_RECIRC_FAN_R_SWITCH;69828;196
EVT_OH_BLEED_OVHT_TEST_BUTTON;69831;199
EVT_OH_BLEED_PACK_L_SWITCH;69832;200
EVT_OH_BLEED_PACK_R_SWITCH;69833;201
EVT_OH_BLEED_ISOLATION_VALVE_SWITCH;69834;202
EVT_OH_BLEED_TRIP_RESET_BUTTON;69841;209
EVT_OH_BLEED_ENG_1_SWITCH;69842;210
EVT_OH_BLEED_APU_SWITCH;69843;211
EVT_OH_BLEED_ENG_2_SWITCH;69844;212

/ Overhead - Cabin Press;;
EVT_OH_PRESS_FLT_ALT_KNOB;69850;218
EVT_OH_PRESS_LAND_ALT_KNOB;69852;220
EVT_OH_PRESS_VALVE_SWITCH;69854;222
EVT_OH_PRESS_SELECTOR;69855;223

/ Overhead - Cabin Alt;;
EVT_OH_CAB_ALT_HORN_CUTOUT_BUTTON;69815;183

/ Aft Overhead - LE Devices;;
EVT_OH_LE_DEVICES_TEST_SWITCH;69856;224

/ Aft Overhead - Service Interphone Switch;;
EVT_OH_SERVICE_INTERPHONE_SWITCH;69889;257;;

/ Aft Overhead - Dome Switch;;;;
EVT_OH_DOME_SWITCH;69890;258;;

/ Aft Overhead - ISDU panel;;;;
EVT_ISDU_DSPL_SEL;69861;229;;/ ISDU DiSPLay SELector

EVT_ISDU_DSPL_SEL_BRT;69862;230;;/ ISDU DiSPLay SELector BRT ( Brightness )
EVT_ISDU_SYS_DSPL;69863;231;;/ ISDU SYS DSPL  
EVT_ISDU_KBD_1;69864;232;;/ ISDU KEYBOARD 1
EVT_ISDU_KBD_2;69865;233;;/ ISDU KEYBOARD 2 or N
EVT_ISDU_KBD_3;69866;234;;/ ISDU KEYBOARD 3
EVT_ISDU_KBD_4;69867;235;;/ ISDU KEYBOARD 4 or W
EVT_ISDU_KBD_5;69868;236;;/ ISDU KEYBOARD 5 or H
EVT_ISDU_KBD_6;69869;237;;/ ISDU KEYBOARD 6 or E
EVT_ISDU_KBD_7;69870;238;;/ ISDU KEYBOARD 7
EVT_ISDU_KBD_8;69871;239;;/ ISDU KEYBOARD 8 or S
EVT_ISDU_KBD_9;69872;240;;/ ISDU KEYBOARD 9
EVT_ISDU_KBD_ENT;69873;241;;/ ISDU KEYBOARD ENTer
EVT_ISDU_KBD_0;69875;243;;/ ISDU KEYBOARD 0
EVT_ISDU_KBD_CLR;69876;244;;/ ISDU KEYBOARD CLR
EVT_IRU_MSU_LEFT;69887;255;;/ LEFT IRS Mode Selector Unit 
EVT_IRU_MSU_RIGHT;69888;256;;/ RIGHT IRS Mode Selector Unit


EVT_WLAN_SWITCH;70520;888;;
EVT_WLAN_GUARD;70521;889;;

/ Aft Overhead - Engine control;;;;
EVT_OH_EEC_L_GUARD;69899;267;;
EVT_OH_EEC_L_SWITCH;69900;268;;
EVT_OH_EEC_R_GUARD;69902;270
EVT_OH_EEC_R_SWITCH;69903;271

/ Aft Overhead - Oxygen;;
EVT_OH_OXY_PASS_SWITCH;69896;264
EVT_OH_OXY_PASS_GUARD;69897;265
EVT_OH_OXY_TEST_RESET_SWITCH_L;70615;983
EVT_OH_OXY_TEST_RESET_SWITCH_R;79464;9832
EVT_OH_OXY_RED_BUTTON_L;79463;9831
EVT_OH_OXY_RED_BUTTON_R;79465;9833

/ Aft Overhead - Flt Rec & Warning;;
EVT_OH_FLTREC_SWITCH;69930;298
EVT_OH_FLTREC_GUARD;69931;299
EVT_OH_WARNING_TEST_MACH_IAS_1_PUSH;69933;301
EVT_OH_WARNING_TEST_MACH_IAS_2_PUSH;69934;302
EVT_OH_WARNING_TEST_STALL_1_PUSH;69935;303;;
EVT_OH_WARNING_TEST_STALL_2_PUSH;69936;304;;

/ Overhead - test gauge;;;;
EVT_OH_TRIM_AIR_SWITCH_TOGGLE;84832;15200;;/ user clicks a switch
EVT_OH_WING_BODY_OVERHEAT_TEST_PUSH;84833;15201;;/ user pushes a pushbutton 


/ Integrated Standby Flight Display - ISFD;;;;
EVT_ISFD_APP;70619;987;;/  
EVT_ISFD_HP_IN;70618;986;;/ 
EVT_ISFD_PLUS;70620;988;;/ 
EVT_ISFD_MINUS;70621;989;;/ 
EVT_ISFD_ATT_RST;70622;990;;/ 
EVT_ISFD_BARO;70623;991;;/ 
EVT_ISFD_BARO_PUSH;70625;993;;/ 

/ Analog standby instruments;;;;
EVT_STANDBY_ADI_APPR_MODE;70106;474;;/  
EVT_STANDBY_ADI_CAGE_KNOB;70108;476;;/  
EVT_STANDBY_ALT_BARO_KNOB;70124;492;;/  
EVT_RMI_LEFT_SELECTOR;70129;497;;/  
EVT_RMI_RIGHT_SELECTOR;70130;498;;/  


/ MCP;;;;
/;;;;
EVT_MCP_COURSE_SELECTOR_L;70008;376;;
EVT_MCP_FD_SWITCH_L;70010;378;;
EVT_MCP_AT_ARM_SWITCH;70012;380;;
EVT_MCP_N1_SWITCH;70013;381;;
EVT_MCP_SPEED_SWITCH;70014;382;;
EVT_MCP_CO_SWITCH;70015;383
EVT_MCP_SPEED_SELECTOR;70016;384
EVT_MCP_VNAV_SWITCH;70018;386
EVT_MCP_SPD_INTV_SWITCH;70019;387
EVT_MCP_BANK_ANGLE_SELECTOR;70021;389
EVT_MCP_HEADING_SELECTOR;70022;390
EVT_MCP_LVL_CHG_SWITCH;70023;391
EVT_MCP_HDG_SEL_SWITCH;70024;392
EVT_MCP_APP_SWITCH;70025;393
EVT_MCP_ALT_HOLD_SWITCH;70026;394
EVT_MCP_VS_SWITCH;70027;395
EVT_MCP_VOR_LOC_SWITCH;70028;396
EVT_MCP_LNAV_SWITCH;70029;397
EVT_MCP_ALTITUDE_SELECTOR;70032;400
EVT_MCP_VS_SELECTOR;70033;401
EVT_MCP_CMD_A_SWITCH;70034;402
EVT_MCP_CMD_B_SWITCH;70035;403
EVT_MCP_CWS_A_SWITCH;70036;404
EVT_MCP_CWS_B_SWITCH;70037;405
EVT_MCP_DISENGAGE_BAR;70038;406
EVT_MCP_FD_SWITCH_R;70039;407
EVT_MCP_COURSE_SELECTOR_R;70041;409
EVT_MCP_ALT_INTV_SWITCH;70517;885

/ EFIS Captain control panel;;
/;;
/ NOTE: Order in captain and F/O sides must be same, and events in both sides must increase by 1;;
/;;
EVT_EFIS_CPT_MINIMUMS;69987;355

EVT_EFIS_CPT_MINIMUMS_RADIO_BARO;69988;356
EVT_EFIS_CPT_MINIMUMS_RST;69989;357
EVT_EFIS_CPT_VOR_ADF_SELECTOR_L;69990;358
EVT_EFIS_CPT_MODE;69991;359
EVT_EFIS_CPT_MODE_CTR;69992;360
EVT_EFIS_CPT_RANGE;69993;361
EVT_EFIS_CPT_RANGE_TFC;69994;362
EVT_EFIS_CPT_FPV;69995;363
EVT_EFIS_CPT_MTRS;69996;364
EVT_EFIS_CPT_BARO;69997;365
EVT_EFIS_CPT_BARO_IN_HPA;69998;366
EVT_EFIS_CPT_BARO_STD;69999;367
EVT_EFIS_CPT_VOR_ADF_SELECTOR_R;70000;368
EVT_EFIS_CPT_WXR;70001;369
EVT_EFIS_CPT_STA;70002;370
EVT_EFIS_CPT_WPT;70003;371
EVT_EFIS_CPT_ARPT;70004;372
EVT_EFIS_CPT_DATA;70005;373
EVT_EFIS_CPT_POS;70006;374
EVT_EFIS_CPT_TERR;70007;375

/ EFIS F/O control panels;;
/;;
EVT_EFIS_FO_MINIMUMS;70043;411

EVT_EFIS_FO_MINIMUMS_RADIO_BARO;70044;412
EVT_EFIS_FO_MINIMUMS_RST;70045;413
EVT_EFIS_FO_VOR_ADF_SELECTOR_L;70046;414
EVT_EFIS_FO_MODE;70047;415
EVT_EFIS_FO_MODE_CTR;70048;416
EVT_EFIS_FO_RANGE;70049;417
EVT_EFIS_FO_RANGE_TFC;70050;418
EVT_EFIS_FO_FPV;70051;419
EVT_EFIS_FO_MTRS;70052;420
EVT_EFIS_FO_BARO;70053;421;;
EVT_EFIS_FO_BARO_IN_HPA;70054;422;;
EVT_EFIS_FO_BARO_STD;70055;423;;
EVT_EFIS_FO_VOR_ADF_SELECTOR_R;70056;424;;
EVT_EFIS_FO_WXR;70057;425;;
EVT_EFIS_FO_STA;70058;426;;
EVT_EFIS_FO_WPT;70059;427;;
EVT_EFIS_FO_ARPT;70060;428;;
EVT_EFIS_FO_DATA;70061;429;;
EVT_EFIS_FO_POS;70062;430;;
EVT_EFIS_FO_TERR;70063;431;;


/ Display select panels;;;;
/ ;;;;
EVT_DSP_CPT_BELOW_GS_INHIBIT_SWITCH;69959;327;;/ CAPT Side BELOW GS INHIBIT Pushbutton
EVT_DSP_CPT_MAIN_DU_SELECTOR;69967;335;;/ CAPT side MAIN PANEL DISPLAY UNITS ( MAIN PANEL DUs ) Selector 
EVT_DSP_CPT_LOWER_DU_SELECTOR;69968;336;;/ CAPT side LOWER DISPLAY UNIT ( LOWER DU ) Selector 
EVT_DSP_CPT_DISENGAGE_TEST_SWITCH;69974;342;;/ CAPT side DISENGAGE LIGHTS TEST switch
EVT_DSP_CPT_AP_RESET_SWITCH;69971;339;;/ CAPT Side AP RESET Pushbutton
EVT_DSP_CPT_AT_RESET_SWITCH;69972;340;;/ CAPT Side AT RESET Pushbutton
EVT_DSP_CPT_FMC_RESET_SWITCH;69973;341;;/ CAPT Side FMC RESET Pushbutton
EVT_DSP_CPT_MASTER_LIGHTS_SWITCH;69978;346;;/ MASTER LIGHTS & TEST switch


EVT_DSP_FO_MAIN_DU_SELECTOR;70072;440;;/ FO side MAIN PANEL DISPLAY UNITS ( MAIN PANEL DUs ) Selector 
EVT_DSP_FO_LOWER_DU_SELECTOR;70073;441;;/ FO side LOWER DISPLAY UNIT ( LOWER DU ) Selector 
EVT_DSP_FO_DISENGAGE_TEST_SWITCH;70074;442;;/ FO side DISENGAGE LIGHTS TEST switch
EVT_DSP_FO_FMC_RESET_SWITCH;70075;443;;/ FO Side FMC RESET Pushbutton
EVT_DSP_FO_AT_RESET_SWITCH;70076;444;;/ FO Side AT RESET Pushbutton
EVT_DSP_FO_AP_RESET_SWITCH;70077;445;;/ FO Side AP RESET Pushbutton
EVT_DSP_FO_BELOW_GS_INHIBIT_SWITCH;70078;446;;/ FO Side BELOW GS INHIBIT Pushbutton


/ Main panel misc;;
EVT_MPM_AUTOBRAKE_SELECTOR;70092;460
EVT_MPM_MFD_SYS_BUTTON;70094;462
EVT_MPM_MFD_ENG_BUTTON;70095;463
EVT_MPM_MFD_C_R_BUTTON;74253;4621
EVT_MPM_SPEED_REFERENCE_SELECTOR;70096;464
EVT_MPM_SPEED_REFERENCE_CONTROL;70097;465
EVT_MPM_N1SET_SELECTOR;70098;466
EVT_MPM_N1SET_CONTROL;70099;467
EVT_MPM_FUEL_FLOW_SWITCH;70100;468

/ Gear panel;;
EVT_GEAR_LEVER;70087;455
EVT_GEAR_LEVER_OFF;74183;4551
EVT_GEAR_LEVER_UNLOCK;74184;4552;;

/ Nose Wheel Steering;;;;
EVT_NOSE_WHEEL_STEERING_SWITCH;69957;325;;
EVT_NOSE_WHEEL_STEERING_SWITCH_GUARD;69958;326;;
EVT_TILLER;70607;975;;

/ Warning/caution;;;;
EVT_FIRE_WARN_LIGHT_LEFT;69979;347;;/ 347 - Master Fire Warning ( FIRE WARN ) Light Left Switch Toggle
EVT_MASTER_CAUTION_LIGHT_LEFT;69980;348;;/ 348 - MASTER CAUTION Light Left Switch Toggle

EVT_FIRE_WARN_LIGHT_RIGHT;70071;439;;/ 
EVT_MASTER_CAUTION_LIGHT_RIGHT;70070;438;;/ 

EVT_SYSTEM_ANNUNCIATOR_PANEL_LEFT;69981;349;;/ 
EVT_SYSTEM_ANNUNCIATOR_PANEL_RIGHT;70069;437;;/ 

/ Lower Main;;
EVT_LWRMAIN_CAPT_MAIN_PANEL_BRT;69960;328
EVT_LWRMAIN_CAPT_OUTBD_DU_BRT;69961;329
EVT_LWRMAIN_CAPT_INBD_DU_BRT;69962;330
EVT_LWRMAIN_CAPT_INBD_DU_INNER_BRT;69963;331
EVT_LWRMAIN_CAPT_LOWER_DU_BRT;69964;332
EVT_LWRMAIN_CAPT_LOWER_DU_INNER_BRT;69965;333
EVT_LWRMAIN_CAPT_UPPER_DU_BRT;69966;334
EVT_LWRMAIN_CAPT_BACKGROUND_BRT;69969;337
EVT_LWRMAIN_CAPT_AFDS_BRT;69970;338

EVT_LWRMAIN_FO_INBD_DU_BRT;70139;507
EVT_LWRMAIN_FO_INBD_DU_INNER_BRT;70140;508
EVT_LWRMAIN_FO_MAIN_PANEL_BRT;70142;510
EVT_LWRMAIN_FO_OUTBD_DU_BRT;70141;509


/ GPWS;;
EVT_GPWS_SYS_TEST_BTN;70132;500
EVT_GPWS_FLAP_INHIBIT_SWITCH;70133;501
EVT_GPWS_FLAP_INHIBIT_GUARD;70134;502
